1631568522.76976,2462
1631568602.43036,2481
1631568722.20979,2413
1631568841.65899,2582
1631568962.41879,2536
1631569081.84026,2566
1631569201.6921,2543
1631569322.39736,2570
1631569441.74135,2575
1631569561.81922,2505
1631569682.19378,2528
1631569801.94619,2613
1631569922.24233,2600
1631570042.068,2581
1631570162.44244,2562
1631570282.09065,2607
1631570401.90618,2606
1631570522.15268,2623
1631570642.53004,2570
1631570761.64733,2601
1631570881.97987,2581
1631571001.69406,2605
1631571122.02288,2516
1631571242.31475,2656
1631571362.60359,2607
1631571482.2644,2634
1631571601.64622,2591
1631571721.67507,2514
1631571842.34054,2515
1631571961.68021,2481
1631572082.26443,2351
1631572202.04008,2382
1631572321.68423,2376
1631572442.33598,2337
1631572561.70592,2374
1631572681.67494,2361
1631572801.99274,2335
1631572922.35937,2283
1631573042.41331,2243
1631573162.44494,2249
1631573282.0779,2265
1631573401.64399,2180
1631573522.54383,2241
1631573642.36205,2239
1631573762.01281,2246
1631573882.34876,2072
1631574002.55812,2051
1631574121.86845,2071
1631574242.11974,2044
1631574361.69807,2020
1631574482.28917,2016
1631574601.96556,1984
1631574721.9763,1961
1631574842.18625,1924
1631574961.87141,1892
1631575082.19323,1886
1631575201.79487,1891
1631575321.74972,1871
1631575442.16984,1857
1631575562.4903,1847
1631575682.38832,1833
1631575801.92052,1819
1631575922.12473,1813
1631576042.45671,1803
1631576162.09425,1783
1631576281.8043,1791
1631576402.36391,1804
1631576521.93288,1796
1631576642.38817,1786
1631576761.92868,1797
1631576882.44624,1797
1631577001.9455,1787
1631577122.613,1790
1631577242.37078,1798
1631577361.65504,1791
1631577482.20342,1778
1631649602.45046,2040
1631649902.35913,2032
1631650202.4585,2028
1631650501.84034,2069
1631650801.99103,2090
1631651101.97689,2050
1631651401.83508,2071
1631651701.74014,2096
1631652001.68635,2203
1631652302.34101,2218
1631652602.18452,2339
1631652902.00743,2392
1631653202.61608,2441
1631653502.21454,2445
1631653802.07961,2530
1631654101.65848,2544
1631654402.52056,2642
1631654701.69822,2645
1631655002.31149,2679
1631655302.04819,2685
1631655602.01341,2673
1631655901.95565,2678
1631656201.70315,2654
1631656502.019,2621
1631656801.71348,2623
1631657102.60611,2469
1631657402.28006,2508
1631657701.99685,2599
1631658001.95698,2503
1631658302.58637,2501
1631658602.43327,2453
1631658901.75143,2421
1631659201.73035,2381
1631659502.35207,2315
1631659801.86145,2208
1631660101.79206,2172
1631660402.19001,2115
1631660702.31637,2008
1631661002.18425,1996
1631661302.08919,1943
1631661601.73142,1911
1631661902.62486,1866
1631662201.65499,1834
1631662502.22679,1784
1631662801.83293,1787
1631663101.80122,1791
1631663402.42068,1773
1631663702.02979,1784
